Order Date,CustomerID, Cost,Quantity,MenuID
2019-06-14,372,144.09,2,22
2019-06-14,372,125,2,22
2019-06-14,372,168.27,2,22
2019-06-14,372,69.38,2,22
2019-06-14,372,190,2,22
2019-06-14,372,52.08,2,22
2019-06-14,372,310,2,22
2019-06-14,372,91.84,2,22
2019-06-14,372,320,2,22
2019-06-14,372,93.13,2,22
2019-06-14,372,75,2,22
2019-06-14,372,144.09,2,22
2019-06-14,372,125,2,22
2019-06-14,372,168.27,2,22
2019-06-14,372,69.38,2,22
2019-06-14,372,190,2,22
2019-06-14,372,52.08,2,22
2019-06-14,372,310,2,22
2019-06-14,372,91.84,2,22
2019-06-14,372,320,2,22
2019-06-14,372,93.13,2,22
2019-06-23,481,168.27,2,42
2019-06-23,481,69.38,2,42
2019-06-23,481,190,2,42
2019-06-23,481,52.08,2,42
2019-06-23,481,310,2,42
2019-06-23,481,91.84,2,42
2019-06-23,481,320,2,42
2019-06-23,481,93.13,2,42
2019-06-23,481,75,2,42
2019-06-23,481,144.09,2,42
2019-06-23,481,125,2,42
2019-06-23,481,168.27,2,42
2019-06-23,481,69.38,2,42
2019-06-23,481,190,2,42
2019-06-23,481,52.08,2,42
2019-06-23,481,310,2,42
2019-06-23,481,91.84,2,42
2019-06-23,481,320,2,42
2019-06-23,481,93.13,2,42
2019-06-23,481,75,2,42
2019-06-23,481,144.09,2,42
2019-06-26,50,320,3,72
2019-06-26,678,190,3,20
2019-06-26,396,93.13,3,59
2019-06-26,50,93.13,3,72
2019-06-26,678,52.08,3,20
2019-06-26,396,75,3,59
2019-06-26,50,75,3,72
2019-06-26,678,310,3,20
2019-06-26,396,144.09,3,59
2019-06-26,50,144.09,3,72
2019-06-26,678,91.84,3,20
2019-06-26,396,125,3,59
2019-06-26,50,125,3,72
2019-06-26,678,320,3,20
2019-06-26,396,168.27,3,59
2019-06-26,50,168.27,3,72
2019-06-26,678,93.13,3,20
2019-06-26,396,69.38,3,59
2019-06-26,50,69.38,3,72
2019-06-26,678,75,3,20
2019-06-26,396,190,3,59
2019-06-26,50,190,3,72
2019-06-26,678,144.09,3,20
2019-06-26,396,52.08,3,59
2019-06-26,50,52.08,3,72
2019-06-26,678,125,3,20
2019-06-26,396,310,3,59
2019-06-26,50,310,3,72
2019-06-26,678,168.27,3,20
2019-06-26,396,91.84,3,59
2019-06-26,50,91.84,3,72
2019-06-26,678,69.38,3,20
2019-06-26,396,320,3,59
2019-06-26,50,320,3,72
2019-06-26,678,190,3,20
2019-06-26,396,93.13,3,59
2019-06-26,50,93.13,3,72
2019-06-26,678,52.08,3,20
2019-06-26,396,75,3,59
2019-06-26,50,75,3,72
2019-06-26,678,310,3,20
2019-06-26,396,144.09,3,59
2019-06-26,50,144.09,3,72
2019-06-26,678,91.84,3,20
2019-06-26,396,125,3,59
2019-06-26,50,125,3,72
2019-06-26,678,320,3,20
2019-06-26,396,168.27,3,59
2019-06-26,50,168.27,3,72
2019-06-26,678,93.13,3,20
2019-06-26,396,69.38,3,59
2019-06-26,50,69.38,3,72
2019-06-26,678,75,3,20
2019-06-26,396,190,3,59
2019-06-26,50,190,3,72
2019-06-26,678,144.09,3,20
2019-06-26,396,52.08,3,59
2019-06-26,50,52.08,3,72
2019-06-26,678,125,3,20
2019-06-26,396,310,3,59
2019-06-26,50,310,3,72
2019-06-26,678,168.27,3,20
2019-06-26,396,91.84,3,59
2019-06-27,11,225,3,43
2019-06-27,582,190,2,35
2019-06-27,11,133.17,3,43
2019-06-27,582,52.08,2,35
2019-06-27,11,210,3,43
2019-06-27,582,310,2,35
2019-06-27,11,44.57,3,43
2019-06-27,582,91.84,2,35
2019-06-27,11,220,3,43
2019-06-27,582,320,2,35
2019-06-27,11,101.6,3,43
2019-06-27,582,93.13,2,35
2019-06-27,11,235,3,43
2019-06-27,582,75,2,35
2019-06-27,11,124.62,3,43
2019-06-27,582,144.09,2,35
2019-06-27,11,119.8,3,43
2019-06-27,582,125,2,35
2019-06-27,11,98,3,43
2019-06-27,582,168.27,2,35
2019-06-27,11,83.99,3,43
2019-06-27,582,69.38,2,35
2019-06-27,11,225,3,43
2019-06-27,582,190,2,35
2019-06-27,11,133.17,3,43
2019-06-27,582,52.08,2,35
2019-06-27,11,210,3,43
2019-06-27,582,310,2,35
2019-06-27,11,44.57,3,43
2019-06-27,582,91.84,2,35
2019-06-27,11,220,3,43
2019-06-27,582,320,2,35
2019-06-27,11,101.6,3,43
2019-06-27,582,93.13,2,35
2019-06-27,11,235,3,43
2019-06-27,582,75,2,35
2019-06-27,11,124.62,3,43
2019-06-27,582,144.09,2,35
2019-06-27,11,119.8,3,43
2019-06-27,582,125,2,35
2019-06-27,11,98,3,43
2019-06-27,582,168.27,2,35
2019-07-03,413,75,2,44
2019-07-03,833,98,3,30
2019-07-03,413,144.09,2,44
2019-07-03,833,83.99,3,30
2019-07-03,413,125,2,44
2019-07-03,833,225,3,30
2019-07-03,413,168.27,2,44
2019-07-03,833,133.17,3,30
2019-07-03,413,69.38,2,44
2019-07-03,833,210,3,30
2019-07-03,413,190,2,44
2019-07-03,833,44.57,3,30
2019-07-03,413,52.08,2,44
2019-07-03,833,220,3,30
2019-07-03,413,310,2,44
2019-07-03,833,101.6,3,30
2019-07-03,413,91.84,2,44
2019-07-03,833,235,3,30
2019-07-03,413,320,2,44
2019-07-03,833,124.62,3,30
2019-07-03,413,93.13,2,44
2019-07-03,833,119.8,3,30
2019-07-03,413,75,2,44
2019-07-03,833,98,3,30
2019-07-03,413,144.09,2,44
2019-07-03,833,83.99,3,30
2019-07-03,413,125,2,44
2019-07-03,833,225,3,30
2019-07-03,413,168.27,2,44
2019-07-03,833,133.17,3,30
2019-07-03,413,69.38,2,44
2019-07-03,833,210,3,30
2019-07-03,413,190,2,44
2019-07-03,833,44.57,3,30
2019-07-03,413,52.08,2,44
2019-07-03,833,220,3,30
2019-07-03,413,310,2,44
2019-07-03,833,101.6,3,30
2019-07-03,413,91.84,2,44
2019-07-03,833,235,3,30
2019-07-03,413,320,2,44
2019-07-03,833,124.62,3,30
2019-07-06,739,98,1,36
2019-07-06,739,83.99,1,36
2019-07-06,739,225,1,36
2019-07-06,739,133.17,1,36
2019-07-06,739,210,1,36
2019-07-06,739,44.57,1,36
2019-07-06,739,220,1,36
2019-07-06,739,101.6,1,36
2019-07-06,739,235,1,36
2019-07-06,739,124.62,1,36
2019-07-06,739,119.8,1,36
2019-07-06,739,98,1,36
2019-07-06,739,83.99,1,36
2019-07-06,739,225,1,36
2019-07-06,739,133.17,1,36
2019-07-06,739,210,1,36
2019-07-06,739,44.57,1,36
2019-07-06,739,220,1,36
2019-07-06,739,101.6,1,36
2019-07-06,739,235,1,36
2019-07-06,739,124.62,1,36
2019-07-07,760,44.57,1,54
2019-07-07,403,69.38,2,70
2019-07-07,760,220,1,54
2019-07-07,403,190,2,70
2019-07-07,760,101.6,1,54
2019-07-07,403,52.08,2,70
2019-07-07,760,235,1,54
2019-07-07,403,310,2,70
2019-07-07,760,124.62,1,54
2019-07-07,403,91.84,2,70
2019-07-07,760,119.8,1,54
2019-07-07,403,320,2,70
2019-07-07,760,98,1,54
2019-07-07,403,93.13,2,70
2019-07-07,760,83.99,1,54
2019-07-07,403,75,2,70
2019-07-07,760,225,1,54
2019-07-07,403,144.09,2,70
2019-07-07,760,133.17,1,54
2019-07-07,403,125,2,70
2019-07-07,760,210,1,54
2019-07-07,403,168.27,2,70
2019-07-07,760,44.57,1,54
2019-07-07,403,69.38,2,70
2019-07-07,760,220,1,54
2019-07-07,403,190,2,70
2019-07-07,760,101.6,1,54
2019-07-07,403,52.08,2,70
2019-07-07,760,235,1,54
2019-07-07,403,310,2,70
2019-07-07,760,124.62,1,54
2019-07-07,403,91.84,2,70
2019-07-07,760,119.8,1,54
2019-07-07,403,320,2,70
2019-07-07,760,98,1,54
2019-07-07,403,93.13,2,70
2019-07-07,760,83.99,1,54
2019-07-07,403,75,2,70
2019-07-07,760,225,1,54
2019-07-07,403,144.09,2,70
2019-07-07,760,133.17,1,54
2019-07-07,403,125,2,70
2019-07-08,957,168.27,3,38
2019-07-08,957,69.38,3,38
2019-07-08,957,190,3,38
2019-07-08,957,52.08,3,38
2019-07-08,957,310,3,38
2019-07-08,957,91.84,3,38
2019-07-08,957,320,3,38
2019-07-08,957,93.13,3,38
2019-07-08,957,75,3,38
2019-07-08,957,144.09,3,38
2019-07-08,957,125,3,38
2019-07-08,957,168.27,3,38
2019-07-08,957,69.38,3,38
2019-07-08,957,190,3,38
